ticker,enabled_for_backtest,default_timeframe_sweep,alpaca_supported_bar_timeframes,notes
WBD,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
XLU,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
VALE,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
HOOD,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
GOOG,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
USO,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
TSM,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
LQD,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
IREN,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
F,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
CORZ,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
NVO,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
NKE,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
OWL,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
EOSE,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
EFA,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
ETHA,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
BMNR,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",Verify symbol availability and optionability in Alpaca before long backfills.
ONDS,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
OPEN,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
C,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
TQQQ,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
XOM,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
RIG,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
UNH,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
NU,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
UBER,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
LCID,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
JD,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
FCX,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
AG,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
CCL,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
WFC,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
IGV,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
VZ,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
COIN,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
SMH,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
CIFR,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
MRVL,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
T,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
OXY,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
PDD,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
HIMS,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
WMT,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
SOXL,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
XLP,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
ET,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
BA,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
PTON,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
LAES,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
CMCSA,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
TTD,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
